time,gpheight,pressure,temp,dewpoint,wind_u,wind_v,lon,lat,ele
2021-04-06T02:28:23Z,338,965.1,2.4,-1.9,3.10,-5.37,15.44706,46.99396,338
2021-04-06T02:28:42Z,438,953.2,2.0,-3.5,7.71,-8.26,15.44889,46.99251,438
2021-04-06T02:29:02Z,543,940.9,1.0,-3.8,7.91,-8.48,15.45122,46.99108,543
2021-04-06T02:29:19Z,645,928.9,0.0,-3.9,6.80,-9.02,15.45281,46.98973,645
2021-04-06T02:29:37Z,746,917.3,-0.6,-4.4,4.41,-7.96,15.4542,46.98825,746
2021-04-06T02:29:54Z,846,906.0,-1.4,-4.9,3.42,-7.67,15.45489,46.98722,846
2021-04-06T02:30:11Z,952,894.0,-2.4,-5.0,3.04,-8.36,15.45574,46.98595,952
2021-04-06T02:30:25Z,1052,882.8,-3.3,-5.3,2.14,-10.07,15.4561,46.98486,1052
2021-04-06T02:30:40Z,1158,871.0,-4.3,-5.3,2.61,-10.48,15.45647,46.98331,1158
2021-04-06T02:30:58Z,1258,860.0,-5.2,-5.7,2.87,-9.37,15.45748,46.98179,1258
2021-04-06T02:31:19Z,1360,848.9,-5.6,-7.0,3.24,-7.64,15.4578,46.98025,1360
2021-04-06T02:31:40Z,1460,838.2,-5.7,-7.4,5.53,-9.97,15.45918,46.97865,1460
2021-04-06T02:32:03Z,1561,827.4,-6.5,-7.8,7.66,-11.36,15.46123,46.97628,1561
2021-04-06T02:32:24Z,1665,816.4,-6.9,-8.2,9.03,-9.35,15.46352,46.97425,1665
2021-04-06T02:32:47Z,1767,805.8,-7.4,-8.3,8.35,-7.01,15.46631,46.97261,1767
2021-04-06T02:33:11Z,1870,795.2,-8.0,-8.8,8.12,-6.34,15.46879,46.97119,1870.1
2021-04-06T02:33:30Z,1975,784.6,-8.4,-9.4,9.25,-7.49,15.47096,46.97021,1975.1
2021-04-06T02:33:52Z,2080,774.0,-9.0,-10.1,9.75,-6.09,15.47362,46.9684,2080.1
2021-04-06T02:34:11Z,2181,764.0,-8.9,-9.8,10.82,-1.33,15.47653,46.96796,2181.1
2021-04-06T02:34:28Z,2286,753.7,-8.9,-9.6,8.93,2.23,15.47868,46.968,2286.1
2021-04-06T02:34:45Z,2390,743.7,-9.0,-9.5,7.43,5.60,15.4805,46.96873,2390.1
2021-04-06T02:35:04Z,2494,733.7,-9.2,-9.7,5.46,6.51,15.48234,46.96983,2494.1
2021-04-06T02:35:23Z,2597,724.0,-9.6,-10.1,3.68,7.88,15.48327,46.97098,2597.1
2021-04-06T02:35:41Z,2701,714.3,-10.0,-10.7,2.87,10.00,15.48388,46.97236,2701.1
2021-04-06T02:36Z,2804,704.8,-10.5,-10.9,2.18,11.19,15.48469,46.97429,2804.1
2021-04-06T02:36:19Z,2907,695.5,-10.8,-11.5,1.56,12.70,15.48497,46.97624,2907.1
2021-04-06T02:36:37Z,3009,686.2,-11.2,-12.1,1.47,14.02,15.4855,46.97849,3009.1
2021-04-06T02:36:58Z,3112,677.2,-11.8,-13.1,1.27,14.54,15.48576,46.98121,3112.2
2021-04-06T02:37:18Z,3214,668.1,-12.6,-13.9,2.02,14.36,15.48614,46.98397,3214.2
2021-04-06T02:37:37Z,3319,659.1,-13.2,-14.6,1.93,13.76,15.48674,46.98626,3319.2
2021-04-06T02:37:54Z,3424,650.0,-13.9,-15.5,2.41,13.69,15.48711,46.98838,3424.2
2021-04-06T02:38:11Z,3528,641.2,-14.7,-16.3,3.65,13.62,15.48797,46.99045,3528.2
2021-04-06T02:38:28Z,3630,632.5,-15.4,-17.0,4.57,14.08,15.48882,46.99257,3630.2
2021-04-06T02:38:45Z,3730,624.2,-16.1,-17.5,5.69,14.09,15.49001,46.99474,3730.2
2021-04-06T02:39:03Z,3834,615.7,-16.9,-18.5,6.02,13.52,15.49142,46.99697,3834.2
2021-04-06T02:39:21Z,3934,607.5,-17.5,-19.2,7.18,12.94,15.49287,46.9991,3934.2
2021-04-06T02:39:40Z,4038,599.1,-18.3,-20.2,8.17,12.58,15.49495,47.00129,4038.3
2021-04-06T02:39:59Z,4142,590.8,-19.1,-21.1,7.90,12.16,15.4971,47.00332,4142.3
2021-04-06T02:40:18Z,4243,582.8,-19.8,-21.9,7.74,12.38,15.49891,47.00545,4243.3
